试题类型	知识范畴	题干	试题难度	正确答案	答案					
单选题	专业知识	某客户活期储蓄存款账户存取情况如下：2015年1月2日开户存入20000元，2015年2月3日支取5000元，2015年2月21日存入10000元，2014年3月5日支取25000。假定适用的活期储蓄存款利率为0.35%，计息期间利率没有调整，银行计算该储户活期存款账户利息时，按实际天数累计计算积数。则期间应付利息为（）。	难	3	11.24元	10.74元	11.76元	12.15元		
多选题	专业知识	关于金融机构的法定准备金存款和超额准备金存款结息，下列说法错误的是。 	中	34	按日计息	按季结息	计息期间遇利率调整不分段计息，	每季度末月的21为结息日。 		
多选题	专业知识	关于个人活期存款结息的规定，下列说法正确的是（） 	易	12	按季结息	按结息日挂牌活期利率计息	每季末月的21日为结息日	未到结息日清户时，按清户日挂牌公告的活期利率计息到清户当日止。 		
多选题	专业知识	银行可采用的计息方法有（）。	中	13	积数计息法	复式计息法	逐笔计息法	单笔计息法		
多选题	专业知识	下列计息方法属于逐笔计息法的是（）。	中	234	利息=累计计息积数×日利率	利息=本金×年（月）数×年（月）利率	利息=本金×年（月）数×年（月）利率+本金×零头天数×日利率	利息=利息×实际天数×日利率		
判断题	专业知识	超级柜台收费根据《中国农业银行服务收费价格目录》执行，相关费用采用账户内扣或收取现金的方式执行。	易	-1						
判断题	专业知识	超级柜台凭证箱钥匙、机箱钥匙由两名设备维护员分管分用、平行交接。	易	1						
判断题	专业知识	超级柜台备用钥匙由钥匙保管员会同营业网点负责人或运营主管当面共同密封签章，放入营业网点保险柜备用	中	-1						
判断题	专业知识	超级柜台凭证箱的卡片实行双人清点和复核制度，加卡、取卡和清机必须在监控状态下双人操作。	易	1						
判断题	专业知识	日终，超级柜台空白银行卡不可以留存在设备凭证箱内保管。	易	-1						
判断题	专业知识	 营业网点超级柜台设备维护员至少每旬巡检1次，并填写《中国农业银行自助设备维护及巡检登记簿》。	中	-1						
判断题	专业知识	超级柜台若开卡不成功，应将卡片剪角作废，并在申请书上注明失败原因，交运营主管签字审核确认。	易	-1						
判断题	专业知识	超级柜台离行上门服务审批经网点行长批准后，逐级报管辖支行业务主管部门、运营财会部门审批。	难	-1						
判断题	专业知识	营业网点领用无线通讯SIM卡登记《业务印章 钥匙等物品及密码保管使用登记簿》	难	-1						
判断题	专业知识	发现超级柜台设备丢失时，应立即上报一级分行运营管理部门，并在超级柜台设备管理端删除设备信息。	难	-1						
判断题	专业知识	发卡明细表的保管年限为15年（）	易	-1						
判断题	专业知识	业务申请书统计表（综合类）保管期限为永久	中	-1						
单选题	专业知识	超级柜台允许他人代理的业务包括（）	难	3	查询类业务	密码修改	开卡、签约	个人外汇买卖	答案错误	
单选题	专业知识	超级柜台钥匙保管人员发生变更，应在（）上登记，并由营业网点负责人或运营主管负责监交。	易	1	业务印章、钥匙等物品及密码保管使用登记簿	运营主管工作日志	柜面业务交接登记簿	柜面重要事项登记簿		
单选题	专业知识	超级柜台备用钥匙如需启封，需经（）批准，使用完毕后要立即密封放入保险柜。	易	1	支行主管行长	运营管理部经理	营业网点负责人	运营主管		
单选题	专业知识	业务量较大的营业网点，超级柜台凭证箱至少（）清点一次，银行卡余额，与生产系统中凭证余额核对，确保账实相符。	中	2	每日	每周	每旬	每月		
单选题	专业知识	 （）应在日终核对超级柜台当日发卡明细，确保账账相符，并在《发卡明细表》上签字确认。	易	3	生产管理员	前端服务员	设备维护员	用户管理员		
单选题	专业知识	超级柜台每次离行上门服务时间原则上不得超过（）个工作日，超过（）个工作日的，须重新申请。	难	4	3、3	5、5	7、7	10、10		
单选题	专业知识	如果超级柜台无线通讯SIM卡丢失，应向（）挂失停用。	中	4	一级分行	二级分行	管辖行	运营商		
单选题	专业知识	超级柜台营业网点日终检查监督结合监控录像（）至少抽查一次前端服务员审核确认操作是否规范。	中	2	每日	每周	每旬	每月		
单选题	专业知识	超级柜台纸质档案不包括（）	难	3	业务申请书	发卡明细表	联网核查结果	业务申请书统计表		
单选题	专业知识	超级柜台影像资料的保管期限为（）	易	2	3年	5年	15年	永久		
多选题	专业知识	超级柜台业务受理范围主要包括（）	易	1234	开卡、签约	转账、理财	基金、外汇	信用卡、查询		
多选题	专业知识	超级柜台的机构类型分为（）	易	124	运管机构	作业中心	支行	营业网点		
多选题	专业知识	超级柜台业务受理渠道作业中心对业务办理（）负责	中	234	真实性	及时性	准确性	完整性		
多选题	专业知识	超级柜台业务受理渠道营业网点对业务办理（）负责	中	14	真实性	准确性	完整性	有效性		
多选题	专业知识	超级柜台前端引导员的职责可赋予（）	中	134	大堂经理	高柜柜员	低柜柜员	客户经理		
多选题	专业知识	超级柜台的生产监控、考核评价，检查监督业务操作的合规性和业务处理的及时性的职责可赋予（）	中	134	运营主管	大堂经理	高柜柜员	低柜柜员		
多选题	专业知识	超级柜台的钥匙管理，加卡、取卡、日终清机等设备维护的职责可赋予（）	难	1234	大堂经理	客户经理	运营主管	高柜柜员		
多选题	专业知识	超级柜台日常管理包括（）	易	123	日初管理	日终管理	 应急管理	离行上门服务管理		
多选题	专业知识	超级柜台前端服务员负责业务场景的真实性审核。审核要点是（）	难	1234	对客户身份进行审查，检查身份证照片与客户本人是否为同一人，确认业务场景的真实性。	应引导客户阅读电子版协议，确认协议内容。	应审核确认业务申请书打印的客户户名、客户签名与身份证姓名是否一致，比对客户本人、身份证照片和联网核查照片是否一致。	业务办理过程中，如客户有需要，前端服务员可给予指导，但不得代客户输入密码等关键信息。		
多选题	专业知识	超级柜台作业中心身份审核员负责审核客户身份信息的一致性。审核要点是（）	中	1234	身份证信息是否清晰、完整和正确，身份证件是否在有效期内。	检查核对身份证联网核查结果是否一致，核心系统开户姓名与联网核查姓名是否一致，西联汇款、外汇汇款业务客户姓名拼音和身份证姓名是否一致。	联网核查照片、身份证照片与客户现场头像是否一致。	身份核实不一致或无法确认是否为本人办理的，作业中心审核员应当退回客户提交的业务申请，并选择合理的退回原因。		
多选题	专业知识	超级柜台日终管理包括（）	难	1234	查看超级柜台剩余银行卡张数，与核心系统中柜员凭证箱余额是否相符	核对当日发卡明细，确保账账相符，并在《发卡明细表》上签字确认。	打印当日《业务申请书统计表》，与当日回收的业务申请书核对	作业中心用户检查并确认待处理任务已全部处理完毕，办理用户签退。		
多选题	专业知识	超级柜台离岗上门服务业务办理前准备流程为（）	难	234	确定现场营销活动场地	申请与审批	无线通讯SIM卡领用	无线网络配置		
多选题	专业知识	超级柜台离岗上门服务业务现场管理包括（）	难	1234	营业网点应在审批时间内开展营销，原则上不得超出当天营业网点日常营业时间。	业务现场应至少有两人在场	现场营销业务办理中，严禁将载有客户或银行信息的各类回单以及作废纸质载体信息随意丢弃，对现场纸质信息进行及时整理和清理。　	业务办理现场应采取有效措施进行监控，确保业务办理合规。		
判断题	专业知识	网点一级（含）以上主管兼柜员根据情况允许使用“密码+主管指纹授权认证”方式，纯主管必须使用指纹认证方式。	易	-1						
判断题	专业知识	柜员指纹认证系统管理员无需进行机构和人员信息维护和管理，仅需进行用户指纹管理。	中	1						
单选题	专业知识	指纹系统管理端设在各级管理行，每个管理端应设置  （   ）管理员。	中	3	1-2	2-3	2-4	3-4		
单选题	专业知识	柜员指纹经管理员重复采集指纹确认为指纹异常的，可审批同意采用“密码+主管指纹授权”认证方式，有效期为（），审批有效期期末，管理员要对柜员指纹情况进行重新确认 。	易	3	一个月	三个月	半年	一年		
单选题	专业知识	管辖行运营管理部门应每（）汇总辖内指纹异常柜员情况以正式文件形式报上级行运营管理部门备案。	难	3	月	季	半年	一年		
单选题	专业知识	《中国农业银行统一安全认证平台管理员维护申请表》、《指纹异常柜员使用“密码+主管指纹授权”认证方式审批表》和《中国农业银行统一安全认证平台指纹现场采集登记表》依据《中国农业银行运营档案管理办法》的规定按年整理、装订和归档，保管期限（）年。	中	1	3	5	15	永久		
单选题	专业知识	“密码+主管指纹授权认证”方式只允许对柜员类型为 （   ）的柜员使用。	易	4	主管兼柜员	三级主管	九级主管	一般柜员		
单选题	专业知识	关于指纹自行采集下列说法不正确的是（）  。	中	2	用户自行登录系统	主管或管理员非现场复核	身份证识别	手机验证		
多选题	专业知识	柜员指纹认证系统管理的指纹用户范围包括（）等系统用户，并可根据业务发展拓展管理范围。	易	1234	核心业务系统	金库业务管理系统	参数平台	第二代集中作业平台		
多选题	专业知识	柜员指纹认证系统采用（）的指纹管理模式。	易	13	统一采集	管理端	分散应用	操作端		
多选题	专业知识	柜员指纹采集分为（）采集方式。	难	13	现场采集	统一采集	自行采集	分散采集		
判断题	专业知识	为ATM、POS、存折补登机、自助服务终端等自助机具调用BoEing系统完成业务处理的用户，称为系统用户。（    ）	难	-1						
判断题	专业知识	在BoEing系统中，用户成功操作某一交易时，需要其所属机构、所用设备和操作用户的角色都具备该交易的操作权限。（    ）　	易	1						
判断题	专业知识	动态授权是指对于一些重要交易，无论金额大小均由相应级别用户进行授权确认。(    )	难	-1						
单选题	专业知识	所有为电子银行系统、财务管理系统和外汇业务等外围系统调用BoEing系统完成业务处理的用户，称为（    ）用户。	难	2	人工	系统	机器	设备		
单选题	专业知识	为ATM、POS、存折补登机、自助服务终端等自助机具调用BoEing系统完成业务处理的用户，称为（    ）用户。	难	3	人工	系统	机器	设备		
单选题	专业知识	下列哪项不属于角色类型（    ）。	难	3	机构	用户	机器	设备		
单选题	专业知识	营业机构的运营主管必须为（    ）级用户。	易	3	1	2	3	9		
单选题	专业知识	普通用户即为0、1、2级用户，一般有柜员、客户经理、大堂经理等。其中客户经理和大堂经理只能使用（    ）级用户，可关联仅具备查询功能的角色。	中	1	0	1	2	0或1		
多选题	专业知识	角色是控制用户交易范围、限定用户操作权限的工具。角色分为（    ）。	中	124	机构	用户	机器	设备		
多选题	专业知识	下列属于总行职责的是（    ）。	难	123	统一建立机构角色和设备角色。	统一建立适用于常规岗位分工的用户角色。	在机构角色和设备角色使用的过程中，根据业务需要和系统变化随时调整和完善角色的权限。	根据自身业务种类和劳动组合的特点，建立专业岗位的用户角色。		
多选题	专业知识	BoEing中设定的授权级别为（    ）。	易	1234	1级	2级	3级	9级		
判断题	专业知识	BoEing系统不支持多金融实体。	易	-1						
判断题	专业知识	一个机构可以关联多个机构角色。	易	-1						
判断题	专业知识	新增机构经营货币必须为上级机构启用货币。	中	1						
判断题	专业知识	在BoEing系统中，每个机构都可能会处在不同的机构关系中，用于满足不同的管理功能。在一种关系类型中，一个机构只能有一个直接上级，但是可以有多个下级。	中	1						
判断题	专业知识	用户只有在关联了相应的角色后，才具有了办理业务，实现职能的权限。	易	1						
判断题	专业知识	启用人工用户无任何限制条件。	易	-1						
判断题	专业知识	撤销用户角色前，该用户必须在签退或离岗状态，且用户没有被代岗3级主管。	难	1						
判断题	专业知识	一级分行9级主管可以查询及调动一级分行范围内所有用户，且不受9级主管就近原则限制。	中	1						
判断题	专业知识	用户在停用、离岗、被代岗状态下，不允许签到。（    ）　	中	1						
单选题	专业知识	金融实体是一个以法人身份独立存在并从事金融活动的组织。（    ）位金融实体码是其在BoEing系统内的唯一标识。	中	2	6	4	3	2		
单选题	专业知识	（    ）是我行营业机构在中国人民银行建设、运行的大额实时支付系统和小额批量支付系统中办理业务的身份识别代码。	易	1	支付系统行号	机构信用代码	机构授权级别	机构名称		
单选题	专业知识	下列不属BoEing机器用户类型的是（    ）。	难	3	ATM	POS	电子回单柜	自助开卡机		
单选题	专业知识	下列不属于BoEing系统用户类型的是（    ）	难	3	批处理	网络银行	自助服务终端	电子回单柜		
单选题	专业知识	BoEing系统的机构号为（    ）位。	易	1	6	4	3	2		
单选题	专业知识	人民银行给每个发售国债的营业机构赋予一个（    ），用于商业银行向人民银行定期报送国债发售数据。	难	2	支付系统行号	国库系统代码	机构授权级别	机构名称		
单选题	专业知识	启用人工用户的限制条件是：用户状态为（    ）。	易	1	停用	已删除	临时签退	离岗		
单选题	专业知识	删除人工用户的限制条件是（    ）。	易	2	用户状态为正常	用户状态为停用	用户状态为启用	无任何限制条件		
单选题	专业知识	（    ）用户不能处理任何金融性交易。	易	4	0级	3级	9级	3级和9级		
单选题	专业知识	新增主管转授权范围控制交易要求用户类型为人工用户且用户级别必须为（    ）级以下。	易	4	0	1	2	3		
单选题	专业知识	用户状态变更历史查询交易只能由（    ）级及以上主管查询本机构或辖属机构的用户变更历史，不能查询其它机构的用户状态变更历史。	易	4	0	1	2	3		
单选题	专业知识	主管转授权范围控制新增只能由（    ）级用户操作，需9+0授权。	中	3	2	3	9	3或9		
单选题	专业知识	新增人工用户时，登录认证方式默认为（   ），在新增用户交易中不可以修改，但可在用户新增成功后，通过修改用户功能，进行修改。	易	2	密码认证	指纹认证	主管授权认证	密码加主管授权认证		
单选题	专业知识	TBNK代表的渠道是（    ）。	中	3	高柜	转账电话	电话银行	自助终端		
单选题	专业知识	（    ）是指交易由客户或用户通过自有设备登录银行提供的服务系统完成，不能准确定位到交易源头，由该服务系统代理客户完成交易。	难	4	人工渠道	机器渠道	设备渠道	系统渠道		
单选题	专业知识	（    ）是指交易由具体的银行用户完成，该用户向客户提供服务并对交易负责。	中	1	人工渠道	机器渠道	设备渠道	系统渠道		
单选题	专业知识	（    ）是指交易由客户在银行提供的机具上完成，交易的源头能追溯到具体某台机器，由该机器代理客户完成交易。	难	2	人工渠道	机器渠道	设备渠道	系统渠道		
单选题	专业知识	设备的新增、查询、修改、启用、停用、删除功能由（    ）用户操作。	中	2	总行	一级分行及以上	支行及以上	支行		
单选题	专业知识	用户密码使用每（    ）天必须更换新密码，新密码与旧密码不能相同。	易	3	10	20	30	60		
单选题	专业知识	用户授权签到时，每（    ）天必须强制更换新密码。	易	3	10	20	30	60		
单选题	专业知识	（    ）级以上的用户才可以进行授权签到。	易	2	0	1	2	3		
单选题	专业知识	除9级、3级用户外，其余用户在当天正式签退后重新签到（    ）。	中	1	需1+0授权	需2+0授权	需3+0授权	无需授权		
单选题	专业知识	休假离岗的用户必须为（    ）状态。	易	1	正式签退	临时签退	停用	被代岗		
单选题	专业知识	被转授权用户需为（）状态。	中	4	停用	签到	离岗	正式签退		
单选题	专业知识	被强制签退的用户必须为（    ）、临时签退或授权签到状态。	易	2	停用	签到	离岗	被代岗		
单选题	专业知识	重置用户密码交易由9级主管操作时，需9+0授权；由3级主管操作时，需（    ）授权。	中	1	1+0	2+0	3+0	9+0		
单选题	专业知识	强制签退用户需要（    ）级以上主管操作。	中	3	1	2	3	9		
单选题	专业知识	抹账需要（    ）授权。	易	3	1+0	2+0	3+0	9+0		
多选题	专业知识	BoEing用户管理包括（    ）等方面内容的管理。	易	1234	角色	用户的基本信息	休假离岗	主管转授权		
多选题	专业知识	BoEing机构管理包括（    ）外汇业务属性等方面内容的管理。	易	1234	机构角色	机构关系类型	经营货币	通存通兑属性		
多选题	专业知识	下列属于BoEing机构关系类型的是	难	1234	行政隶属关系	授权关系	外汇敞口管理	国际收支申报		
多选题	专业知识	用户类型分为哪几类（    ）。	中	123	人工	系统	机器	设备		
多选题	专业知识	人工用户类型包括：（    ）、产品维护员、人工批处理柜员。	难	234	产品管理员	柜员	客户经理	产品经理		
多选题	专业知识	下列属于系统用户类型的是（   ）。	难	1234	批处理	网络银行	电话终端	电子回单柜		
多选题	专业知识	下列属于机器用户类型的是（    ）。	难	123	ATM	POS	自助开卡机	电话终端		
多选题	专业知识	下列需由一级分行及以上机构用户操作的是（    ）。	中	1234	关联机构角色	新增机构经营货币	新增机构外汇业务属性	新增机构收费地区		
多选题	专业知识	9级用户由（    ）管理。	易	34	支行	二级分行	一级分行	总行		
多选题	专业知识	（    ）级用户由管理行9级用户管理，且必须满足9级用户就近原则。	易	1234	0	1	2	3		
多选题	专业知识	停用人工用户的限制条件是(    )。	难	1234	用户状态为签退或离岗，且用户没有代岗3级主管	用户的现金箱和凭证箱余额为0	当天未发生金融性交易	用户没收的假币已入库		
多选题	专业知识	关联用户角色前，该用户必须在（    ）状态，且用户没有被代岗3级主管。	中	23	签到	签退	离岗	停用		
多选题	专业知识	撤销用户角色前，该用户必须在（    ）状态，且用户没有被代岗3级主管。	中	23	签到	签退	离岗	停用		
多选题	专业知识	渠道定义交易发生的逻辑场所，标识交易发生的原始来源，同时标识用户使用BoEing功能的方式。根据渠道使用者的不同对渠道分类，主要分为（    ）。	中	124	人工渠道	机器渠道	设备渠道	系统渠道		
多选题	专业知识	渠道状态分为（    ）。	易	1234	未启用	正常	停用	撤销		
多选题	专业知识	以下关于BoEing设备管理说法正确的是（    ）。	中	1234	在同一时刻，设备只能被一个用户使用，而用户也不能同时在两个及以上设备与系统交互。	设备服务于一个渠道，具有设备角色，使用设备的用户必须在设备角色权限的限定范围内操作。	设备启用标识为“启用/正常”、占用状态为“否”的设备才可修改。	启用标识为“停用”、占用状态为“否”的设备方可启用。		
多选题	专业知识	签到、授权签到、（）状态用户不允许授权签到。	中	1234	离岗	临时签退	停用	被代岗		
多选题	专业知识	（    ）下列哪些不符合BoEing系统新用户密码设置要求。	易	1234	5个及以上相同字符组合。	连续递增字符排列组合。	连续递减字符排列组合。	与用户号（不包括中间的“000”）相同。		
多选题	专业知识	强制签退用户说法正确的是（    ）。	中	123	被强制签退的用户必须为签到、临时签退或授权签到状态。	如果操作用户与被强制签退用户不属于同一机构，则操作用户必须为9级主管，且符合9级主管就近原则。	"强制签退成功后,被强制签退用户状态为正式签退状态，设备为不占用状态。"	用户可以强制签退自己。		
多选题	专业知识	撤销主管转授权交易说法正确的是（    ）。	难	12	转授权生效后被转授权主管可做撤销交易。	上级行9级主管可撤销管辖行范围内的主管转授权。	转授权生效后任一用户可做撤销交易。	转授权生效后转授权主管可做撤销交易。		
多选题	专业知识	关于机构签退说法正确的是(    )。	中	1234	本交易需检查机构内用户的签退情况，对未正式签退（包括签到、临时签退）用户进行提示。	机构签退成功后，本机构不能再办理任何业务。	本交易联动签退执行机构签退的用户。	本交易联动打印机构日终报表和用户日终报表。		
